"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030336","negative regulation of cell migration","20/352","383/18986",0.0522193211488251,2.81657963446475,4.93612241841694,3.42442238559417e-05,0.0071297610905016,0.00606838910591583,"NAV3/RGCC/KANK1/NEDD9/EPHA4/FOXO3/DUSP1/DLL4/PPARG/THBS1/CYP19A1/RHOB/STC1/SAP30/CITED2/ING2/MCTP1/ALOX15B/NF2/ADARB1",20
"GO:0040013","negative regulation of locomotion","21/352","416/18986",0.0504807692307692,2.72280649038462,4.88315825835717,3.58658884616178e-05,0.0071297610905016,0.00606838910591583,"NAV3/RGCC/KANK1/NEDD9/EPHA4/FOXO3/DUSP1/DLL4/PPARG/THBS1/CYP19A1/RHOB/STC1/SAP30/CITED2/SPINT2/ING2/MCTP1/ALOX15B/NF2/ADARB1",21
"GO:0070482","response to oxygen levels","19/352","358/18986",0.053072625698324,2.86260474860335,4.88993055437685,4.31833478738279e-05,0.00815517524597241,0.00694115496877213,"CFLAR/ABCC9/RGCC/EPHA4/FOXO3/PTK2B/INHBA/HIF3A/PPARG/THBS1/FOXO1/DDAH1/STC1/CBS/CITED2/LEP/AGTRAP/ABAT/ANG",19
"GO:0042572","retinol metabolic process","7/352","52/18986",0.134615384615385,7.26081730769231,6.21348284289231,4.63200374423975e-05,0.00833098959142549,0.00709079670922717,"LIPE/DHRS3/PLB1/ADH6/PNPLA2/ADH1B/ADH1C",7
"GO:0036293","response to decreased oxygen levels","18/352","331/18986",0.054380664652568,2.93315709969789,4.87648739406127,5.00623680919842e-05,0.00859479837651929,0.00731533359583348,"CFLAR/ABCC9/RGCC/EPHA4/FOXO3/PTK2B/INHBA/HIF3A/PPARG/THBS1/DDAH1/STC1/CBS/CITED2/LEP/AGTRAP/ABAT/ANG",18
"GO:0009064","glutamine family amino acid metabolic process","8/352","74/18986",0.108108108108108,5.83108108108108,5.72288532441271,6.69702951479662e-05,0.00977639626325724,0.00832103289661458,"GCLM/PRODH/GLS/GFPT2/GLUL/ADHFE1/DDAH1/CTPS1",8
"GO:1903053","regulation of extracellular matrix organization","8/352","74/18986",0.108108108108108,5.83108108108108,5.72288532441271,6.69702951479662e-05,0.00977639626325724,0.00832103289661458,"CFLAR/RGCC/NID1/PPARG/PDPN/AXIN2/ANGPTL7/LAMA2",8
"GO:0071385","cellular response to glucocorticoid stimulus","7/352","55/18986",0.127272727272727,6.86477272727273,5.98644974198583,6.69938905232836e-05,0.00977639626325724,0.00832103289661458,"CFLAR/FOXO3/KLF9/FBXO32/STC1/FAM107A/AXIN2",7
"GO:0035357","peroxisome proliferator activated receptor signaling pathway","5/352","24/18986",0.208333333333333,11.2369791666667,6.89697983283466,6.7702201060284e-05,0.00977639626325724,0.00832103289661458,"LMO3/PPARG/CITED2/LEP/ALOX15B",5
"GO:1904659","D-glucose transmembrane transport","10/352","118/18986",0.0847457627118644,4.57097457627119,5.34796325940061,6.98868676483838e-05,0.00977639626325724,0.00832103289661458,"SORBS1/PRKAG2/NR4A3/SORT1/PIK3R1/SLC45A1/KLF15/LEP/IRS2/ENPP1",10
